vid,title,category,embed,thumbnail,channel,tag
sgFGxQULzp8,Data Science with Python Course for Beginners | Python Machine Learning | Data Analysis with Python,Machine Learning,"<iframe src=""https://www.youtube.com/embed/sgFGxQULzp8"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/sgFGxQULzp8/hqdefault.jpg,Academic Lesson,new
ue-R9qL4ciI,Quantum Mechanics - Tutorial 2 || Complex Numbers,Quantum,"<iframe src=""https://www.youtube.com/embed/ue-R9qL4ciI"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/ue-R9qL4ciI/hqdefault.jpg,Academic Lesson,new
HhtOmMtizOs,Quantum Mechanics - Tutorial 1 || Introduction and Key Concepts,Quantum,"<iframe src=""https://www.youtube.com/embed/HhtOmMtizOs"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/HhtOmMtizOs/hqdefault.jpg,Academic Lesson,new
c7VnIJF1UZ8,PreCalculus Full Course For Beginners,Calculus,"<iframe src=""https://www.youtube.com/embed/c7VnIJF1UZ8"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/c7VnIJF1UZ8/hqdefault.jpg,Academic Lesson,best
_ZDUOS7NdEc,Quantum Mechanics Full Course | Quantum Physics Course | Part 1,Quantum,"<iframe src=""https://www.youtube.com/embed/_ZDUOS7NdEc"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/_ZDUOS7NdEc/hqdefault.jpg,Academic Lesson,
xzbVK2tqTfM,Deep Learning with R for Beginners,Deep Learning,"<iframe src=""https://www.youtube.com/embed/xzbVK2tqTfM"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/xzbVK2tqTfM/hqdefault.jpg,Academic Lesson,
fk3kcwt71kk,Advanced Linear Algebra Full Video Course,Algebra,"<iframe src=""https://www.youtube.com/embed/fk3kcwt71kk"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/fk3kcwt71kk/hqdefault.jpg,Academic Lesson,
FF05fXg03A0,Linear algebra for Quantum Mechanics,Quantum,"<iframe src=""https://www.youtube.com/embed/FF05fXg03A0"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/FF05fXg03A0/hqdefault.jpg,Academic Lesson,
XcI1ppMBqBk,Deep Learning Advanced,Deep Learning,"<iframe src=""https://www.youtube.com/embed/XcI1ppMBqBk"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/XcI1ppMBqBk/hqdefault.jpg,Academic Lesson,best
8stueNPVl-I,Calculus for Beginners full course | Calculus for Machine learning,Calculus,"<iframe src=""https://www.youtube.com/embed/8stueNPVl-I"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/8stueNPVl-I/hqdefault.jpg,Academic Lesson,best
2dhNVH6yBog,Object Oriented Programming Python | Python OOP | Python object oriented Programming,Python,"<iframe src=""https://www.youtube.com/embed/2dhNVH6yBog&t=11s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/2dhNVH6yBog&t=11s/hqdefault.jpg,Academic Lesson,
qvDg17PbSnU,Cybersecurity for beginners | Network Security Practical Course,Security,"<iframe src=""https://www.youtube.com/embed/qvDg17PbSnU"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/qvDg17PbSnU/hqdefault.jpg,Academic Lesson,best
C_e37dfGmNA,Cryptography and Cyber Security Full Course || Cryptography for Security,Security,"<iframe src=""https://www.youtube.com/embed/C_e37dfGmNA&t=1s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/C_e37dfGmNA&t=1s/hqdefault.jpg,Geek's Lesson,new
hl-Y3tLMkbY,Python Programming - Full Course for Beginners to Experts [Tutorial],Python,"<iframe src=""https://www.youtube.com/embed/hl-Y3tLMkbY&t=1959s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/hl-Y3tLMkbY&t=1959s/hqdefault.jpg,Geek's Lesson,new
sbbYntt5CJk,Statistics and Probability Full Course || Statistics For Data Science,Statistics,"<iframe src=""https://www.youtube.com/embed/sbbYntt5CJk&t=16949s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/sbbYntt5CJk&t=16949s/hqdefault.jpg,Geek's Lesson,new
K4BF7MD69_U,Quantum Physics Full Course | Quantum Mechanics Course,Quantum,"<iframe src=""https://www.youtube.com/embed/K4BF7MD69_U&t=24223s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/K4BF7MD69_U&t=24223s/hqdefault.jpg,Geek's Lesson,
Tc3Qk-hPGwM,Confidence interval Statistics || Confidence Interval and Point Estimation,Statistics,"<iframe src=""https://www.youtube.com/embed/Tc3Qk-hPGwM&t=1s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/Tc3Qk-hPGwM&t=1s/hqdefault.jpg,Geek's Lesson,
pXNroT7P__U,Data Science Crash Course for Beginners,Data Science,"<iframe src=""https://www.youtube.com/embed/pXNroT7P__U&t=4815s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/pXNroT7P__U&t=4815s/hqdefault.jpg,Geek's Lesson,
N7OSQ6e4NK0,Linux Tutorial -  Permission  || Linux Permission [ A- Z ],Linux,"<iframe src=""https://www.youtube.com/embed/N7OSQ6e4NK0&t=1s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/N7OSQ6e4NK0&t=1s/hqdefault.jpg,Geek's Lesson,
t5ckUuSsWe4,Linear Algebra Full Course for Beginners to Experts,Algebra,"<iframe src=""https://www.youtube.com/embed/t5ckUuSsWe4&t=87s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/t5ckUuSsWe4&t=87s/hqdefault.jpg,Geek's Lesson,
wsh64rjnRas,Linux System Administration Full Course,Linux,"<iframe src=""https://www.youtube.com/embed/wsh64rjnRas&t=3s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/wsh64rjnRas&t=3s/hqdefault.jpg,Geek's Lesson,
7u5giNLHj2U,Python Complete Course for Beginners || Python for Data Science - Part 2,Data Science,"<iframe src=""https://www.youtube.com/embed/7u5giNLHj2U&t=9s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/7u5giNLHj2U&t=9s/hqdefault.jpg,Geek's Lesson,
8bhrU9chl58,Python Complete Course for Beginners || Python for Data Science - Part 1,Data Science,"<iframe src=""https://www.youtube.com/embed/8bhrU9chl58&t=22s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/8bhrU9chl58&t=22s/hqdefault.jpg,Geek's Lesson,
lsmUiWvmruU,Mathematics for Machine Learning Full Course: Calculus || Part 2 || Calculus for Machine Learning,Calculus,"<iframe src=""https://www.youtube.com/embed/lsmUiWvmruU&t=15s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/lsmUiWvmruU&t=15s/hqdefault.jpg,Geek's Lesson,
KVDI5m774DY,Advanced Machine Learning: 1d Convolution for Neural Network,Machine Learning,"<iframe src=""https://www.youtube.com/embed/KVDI5m774DY&t=27s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/KVDI5m774DY&t=27s/hqdefault.jpg,Geek's Lesson,
VeB91Mfd5m0,R Programming for deep learning | R basics,Deep Learning,"<iframe src=""https://www.youtube.com/embed/VeB91Mfd5m0&t=12s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/VeB91Mfd5m0&t=12s/hqdefault.jpg,Geek's Lesson,
PVoTRu3p6ug,Algebra for Beginners | Basics of Algebra,Algebra,"<iframe src=""https://www.youtube.com/embed/PVoTRu3p6ug&t=12s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/PVoTRu3p6ug&t=12s/hqdefault.jpg,Geek's Lesson,
dVEdViOurR0,Statistical data analysis | Statistical Data Science | Part 1,Data Science,"<iframe src=""https://www.youtube.com/embed/dVEdViOurR0&t=5s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/dVEdViOurR0&t=5s/hqdefault.jpg,Geek's Lesson,
FKRmKW5Nr7g,Python Strings and Formatting Tutorial,Python,"<iframe src=""https://www.youtube.com/embed/FKRmKW5Nr7g"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/FKRmKW5Nr7g/hqdefault.jpg,Geek's Lesson,
0TrNa13S6y0,Machine Learning with Python | K-means Clustering,Machine Learning,"<iframe src=""https://www.youtube.com/embed/0TrNa13S6y0"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/0TrNa13S6y0/hqdefault.jpg,Geek's Lesson,
e6dNkvDk120,Object Oriented Programming in C++,C++,"<iframe src=""https://www.youtube.com/embed/e6dNkvDk120&t=870s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/e6dNkvDk120&t=870s/hqdefault.jpg,Geek's Lesson,
ZnWFYntS_Wo,Introduction to Cryptography for IT Security | Cryptography and IT Security,Security,"<iframe src=""https://www.youtube.com/embed/ZnWFYntS_Wo"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/ZnWFYntS_Wo/hqdefault.jpg,Geek's Lesson,
kZwSqZuBMGg,Linear Algebra for Beginners | Linear algebra for machine learning,Machine Learning,"<iframe src=""https://www.youtube.com/embed/kZwSqZuBMGg&t=22s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/kZwSqZuBMGg&t=22s/hqdefault.jpg,Geek's Lesson,
2PGnYjbYuUo,Linux Command Line Full course: Beginners to Experts. Bash Command Line Tutorials,Linux,"<iframe src=""https://www.youtube.com/embed/2PGnYjbYuUo&t=2s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/2PGnYjbYuUo&t=2s/hqdefault.jpg,Geek's Lesson,best
xnt2xSNRNn0,Quantum Physics Full Course | Quantum Mechanics Course | Part 1,Quantum,"<iframe src=""https://www.youtube.com/embed/xnt2xSNRNn0&t=14092s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/xnt2xSNRNn0&t=14092s/hqdefault.jpg,Geek's Lesson,best
hjZJIVWHnPE,Statistic for beginners | Statistics for Data Science,Statistics,"<iframe src=""https://www.youtube.com/embed/hjZJIVWHnPE"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/hjZJIVWHnPE/hqdefault.jpg,Geek's Lesson,
PhZFrGOcz7E,Programming for Data Science | Machine Learning | R | SPSS | Python | Programming full Course,Machine Learning,"<iframe src=""https://www.youtube.com/embed/PhZFrGOcz7E"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/PhZFrGOcz7E/hqdefault.jpg,Geek's Lesson,
XwS2WTP1PI0,Basic Math for Data Science | Statistics | Probability | Mathematics,Statistics,"<iframe src=""https://www.youtube.com/embed/XwS2WTP1PI0"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/XwS2WTP1PI0/hqdefault.jpg,Geek's Lesson,best
wAm9WrYy4IE,Cyber Security Tutorial 28 - Interpersonal Issues Online,Security,"<iframe src=""https://www.youtube.com/embed/wAm9WrYy4IE"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/wAm9WrYy4IE/hqdefault.jpg,Geek's Lesson,
RyUpaXNeF1o,Cyber Security Tutorial 27-  Reading URLs,Security,"<iframe src=""https://www.youtube.com/embed/RyUpaXNeF1o"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/RyUpaXNeF1o/hqdefault.jpg,Geek's Lesson,
JO9L6z382Rg,Python Django full course | Django Tutorial | Django Web Framework,Python,"<iframe src=""https://www.youtube.com/embed/JO9L6z382Rg&t=4900s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/JO9L6z382Rg&t=4900s/hqdefault.jpg,Geek's Lesson,
F4cc0J7VRQY,Cyber Security Tutorial 26 - Social Media and Security,Security,"<iframe src=""https://www.youtube.com/embed/F4cc0J7VRQY"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/F4cc0J7VRQY/hqdefault.jpg,Geek's Lesson,
YYHpKPT9Y1I,Cyber Security Tutorial 25 - Social Media and Privacy,Security,"<iframe src=""https://www.youtube.com/embed/YYHpKPT9Y1I"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/YYHpKPT9Y1I/hqdefault.jpg,Geek's Lesson,
YM4k_lxklX0,Cyber Security Tutorial 24:  Administering Wireless Networks,Security,"<iframe src=""https://www.youtube.com/embed/YM4k_lxklX0"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/YM4k_lxklX0/hqdefault.jpg,Geek's Lesson,
6YrOB9arDK8,Cyber Security Tutorial: 23  Using Public Wireless Networks 2,Security,"<iframe src=""https://www.youtube.com/embed/6YrOB9arDK8"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/6YrOB9arDK8/hqdefault.jpg,Geek's Lesson,
dQZHxaFoIDo,Cyber Security Tutorial 21 -  Wireless Network Basics 2,Security,"<iframe src=""https://www.youtube.com/embed/dQZHxaFoIDo"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/dQZHxaFoIDo/hqdefault.jpg,Geek's Lesson,
_9R0Agvb9qA,Data Science for Absolute Beginner | How Data Science Works,Data Science,"<iframe src=""https://www.youtube.com/embed/_9R0Agvb9qA"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/_9R0Agvb9qA/hqdefault.jpg,Geek's Lesson,best
wQA_UtxzHMQ,Cyber Security Tutorial 20:  Online Shopping,Security,"<iframe src=""https://www.youtube.com/embed/wQA_UtxzHMQ&t=19s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/wQA_UtxzHMQ&t=19s/hqdefault.jpg,Geek's Lesson,
VorY4c3yvB4,Cyber Security Tutorial 19:   Safely Navigating the Web,Security,"<iframe src=""https://www.youtube.com/embed/VorY4c3yvB4"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/VorY4c3yvB4/hqdefault.jpg,Geek's Lesson,
WZAU6dYv8K8,Cyber Security Tutorial 18:  How Web Browsing works,Security,"<iframe src=""https://www.youtube.com/embed/WZAU6dYv8K8"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/WZAU6dYv8K8/hqdefault.jpg,Geek's Lesson,
_H0NyEFYBJY,Cyber Security Tutorial 17 -  Layers of Defense Against Malware 2,Security,"<iframe src=""https://www.youtube.com/embed/_H0NyEFYBJY"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/_H0NyEFYBJY/hqdefault.jpg,Geek's Lesson,
GmmfcxnCniU,Cyber Security Tutorial 16:  Sources of Malware,Security,"<iframe src=""https://www.youtube.com/embed/GmmfcxnCniU"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/GmmfcxnCniU/hqdefault.jpg,Geek's Lesson,
UugbJ7d_QKc,Cyber Security Tutorial 15:  Functions of Malware,Security,"<iframe src=""https://www.youtube.com/embed/UugbJ7d_QKc"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/UugbJ7d_QKc/hqdefault.jpg,Geek's Lesson,
qu7K-9hM7HA,Cyber Security Tutorial 14 -   Varieties of Malware,Security,"<iframe src=""https://www.youtube.com/embed/qu7K-9hM7HA"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/qu7K-9hM7HA/hqdefault.jpg,Geek's Lesson,
W1xJYZ7MaTo,Cyber Security Tutorial 13 -    Email Security,Security,"<iframe src=""https://www.youtube.com/embed/W1xJYZ7MaTo"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/W1xJYZ7MaTo/hqdefault.jpg,Geek's Lesson,
slHmtfpS77s,Cyber Security Tutorial 12 -    How Email Works 2,Security,"<iframe src=""https://www.youtube.com/embed/slHmtfpS77s&t=25s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/slHmtfpS77s&t=25s/hqdefault.jpg,Geek's Lesson,
U936jp-oYNo,Cyber Security Tutorial 11 -    Managing Passwords 2,Security,"<iframe src=""https://www.youtube.com/embed/U936jp-oYNo"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/U936jp-oYNo/hqdefault.jpg,Geek's Lesson,
UBhSlWzXirQ,Cyber Security Tutorial 10 -   Creating Strong Passwords 2,Security,"<iframe src=""https://www.youtube.com/embed/UBhSlWzXirQ"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/UBhSlWzXirQ/hqdefault.jpg,Geek's Lesson,
8XdJHe1jPuE,Cyber Security Tutorial 9 -   Common Password Threats,Security,"<iframe src=""https://www.youtube.com/embed/8XdJHe1jPuE"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/8XdJHe1jPuE/hqdefault.jpg,Geek's Lesson,
5ulvfoOVYXw,Cyber Security Tutorial 8 -  Passwords and Hash Functions,Security,"<iframe src=""https://www.youtube.com/embed/5ulvfoOVYXw"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/5ulvfoOVYXw/hqdefault.jpg,Geek's Lesson,
IYTPt8-9_7s,Cyber Security Tutorial 7 -   Demystifying the Internet Part 3,Security,"<iframe src=""https://www.youtube.com/embed/IYTPt8-9_7s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/IYTPt8-9_7s/hqdefault.jpg,Geek's Lesson,
2OtIUT2K6pE,Machine Learning Tutorial: How optimization for machine learning works : part 4,Machine Learning,"<iframe src=""https://www.youtube.com/embed/2OtIUT2K6pE&t=1s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/2OtIUT2K6pE&t=1s/hqdefault.jpg,Geek's Lesson,
M5sDgFMzTRg,How optimization for machine learning works - Part 3,Machine Learning,"<iframe src=""https://www.youtube.com/embed/M5sDgFMzTRg&t=2s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/M5sDgFMzTRg&t=2s/hqdefault.jpg,Geek's Lesson,
QSCSxPEo2Ww,Cyber Security Tutorial 6 -  Demystifying the Internet Part 2,Security,"<iframe src=""https://www.youtube.com/embed/QSCSxPEo2Ww&t=1s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/QSCSxPEo2Ww&t=1s/hqdefault.jpg,Geek's Lesson,
dNjJkp96hwU,Cyber Security Tutorial 5 -  Demystifying the Internet Part 1,Security,"<iframe src=""https://www.youtube.com/embed/dNjJkp96hwU"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/dNjJkp96hwU/hqdefault.jpg,Geek's Lesson,
3o-PhzBt-yE,How optimization for machine learning works - part 2,Machine Learning,"<iframe src=""https://www.youtube.com/embed/3o-PhzBt-yE&t=32s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/3o-PhzBt-yE&t=32s/hqdefault.jpg,Geek's Lesson,
WqNK9qtU2dU,Cyber Security Tutorial 4:  Demystifying Computers Part 2,Security,"<iframe src=""https://www.youtube.com/embed/WqNK9qtU2dU"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/WqNK9qtU2dU/hqdefault.jpg,Geek's Lesson,
9au5rC5NFmo,Cyber Security Tutorial - Demystifying Computers,Security,"<iframe src=""https://www.youtube.com/embed/9au5rC5NFmo&t=4s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",https://i.ytimg.com/vi/9au5rC5NFmo&t=4s/hqdefault.jpg,Geek's Lesson,
